Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,6,6.1676e-11,1.6702e-22,2.0989,0.0053152
1,2,yes,7,2.9841e-10,3.9384e-21,1.8938,0.005327
2,2,yes,7,8.3957e-10,3.1346e-20,2.0121,0.0052824
3,2,yes,6,6.6717e-07,2.1313e-14,1.3456,0.0045505
4,2,yes,6,1.6687e-07,1.3035e-15,1.866,0.0045665
5,2,yes,7,1.1865e-10,6.4424e-22,2.0383,0.0052611
0,1000,yes,11,1.6087e-07,5.5814e-16,1.6378,0.011683
1,1000,yes,15,1.0127e-09,1.7927e-20,1.3419,0.015611
2,1000,yes,14,2.1435e-09,9.5113e-20,1.2535,0.014616
3,1000,yes,12,3.2443e-07,2.0772e-15,1.424,0.013193
4,1000,yes,14,4.3167e-09,3.8354e-19,1.5872,0.017474
5,1000,yes,14,1.4001e-08,2.8953e-18,1.0847,0.015285
0,10000,yes,12,1.6484e-08,5.8023e-18,0.84083,0.049373
1,10000,yes,15,4.5178e-09,3.3569e-19,1.6627,0.055507
2,10000,yes,15,3.8021e-09,2.6238e-19,1.5377,0.052103
3,10000,yes,14,1.6943e-07,6.0737e-16,1.206,0.048335
4,10000,yes,14,1.6217e-07,5.4481e-16,1.1854,0.048311
5,10000,yes,14,1.7106e-07,6.2934e-16,1.5477,0.051302
0,100000,yes,15,5.7311e-09,7.7484e-19,1.5573,0.68783
1,100000,yes,17,8.5046e-10,1.1462e-20,1.3874,0.72371
2,100000,yes,15,4.1203e-07,3.1235e-15,1.4457,0.67754
3,100000,yes,15,3.4635e-08,1.9694e-17,1.1253,0.69317
4,100000,yes,16,1.1795e-09,3.1273e-20,1.5203,0.68005
5,100000,yes,15,3.7042e-08,2.292e-17,1.1398,0.67379
