Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,5,1.3199e-07,8.4531e-16,1.8807,0.0059859
1,2,yes,6,3.79e-09,6.2225e-19,1.8519,0.005609
2,2,yes,6,2.023e-07,1.8912e-15,1.7377,0.0030181
3,2,yes,7,2.0714e-07,2.061e-15,1.5836,0.0034603
4,2,yes,7,2.4838e-09,2.8257e-19,1.6177,0.0059417
5,2,yes,7,4.1659e-13,7.7353e-27,1.8037,0.0046333
0,1000,yes,5,1.7908e-08,1.548e-17,1.8487,0.0039317
1,1000,yes,9,1.3574e-07,6.2252e-16,1.7768,0.0084811
2,1000,yes,8,4.6231e-07,8.1596e-15,1.2772,0.0073535
3,1000,yes,10,9.5456e-14,3.4568e-28,1.6207,0.0081566
4,1000,yes,8,4.2643e-09,6.8217e-19,1.5959,0.012079
5,1000,yes,8,6.4221e-07,1.5427e-14,1.4662,0.0066827
0,10000,yes,5,1.7909e-08,1.5482e-17,1.9277,0.015713
1,10000,yes,8,4.8153e-07,9.3467e-15,1.5456,0.034855
2,10000,yes,10,2.7592e-09,3.0657e-19,1.5767,0.030284
3,10000,yes,10,2.7605e-07,2.841e-15,1.3576,0.034656
4,10000,yes,11,1.8633e-13,1.2196e-27,1.5064,0.060754
5,10000,yes,8,1.7831e-08,1.3002e-17,1.5797,0.034265
0,100000,yes,5,1.7919e-08,1.5503e-17,1.9614,0.17864
1,100000,yes,11,3.6749e-10,5.3601e-21,1.4737,0.50323
2,100000,yes,12,1.5144e-12,8.8057e-26,1.7175,0.51811
3,100000,yes,9,8.9785e-09,3.2336e-18,1.5406,0.49125
4,100000,yes,12,1.4686e-10,8.7411e-22,1.5269,0.58717
5,100000,yes,11,1.0235e-11,4.1493e-24,1.494,0.62093
