Point ID,n,success,k,grad_norm_final,fx_final,convergence_rate,time
0,2,yes,5,1.3199e-07,8.4531e-16,1.8807,0.0038996
1,2,yes,6,3.79e-09,6.2225e-19,1.8519,0.0038258
2,2,yes,6,2.023e-07,1.8912e-15,1.7377,0.003722
3,2,yes,7,2.0714e-07,2.061e-15,1.5836,0.0043157
4,2,yes,7,2.4838e-09,2.8257e-19,1.6177,0.0042876
5,2,yes,7,4.1659e-13,7.7353e-27,1.8037,0.0042948
0,1000,yes,5,1.7908e-08,1.548e-17,1.8487,0.004675
1,1000,yes,9,1.3574e-07,6.2252e-16,1.7768,0.0084548
2,1000,yes,8,4.6231e-07,8.1596e-15,1.2772,0.0075036
3,1000,yes,10,9.529e-14,3.4489e-28,1.6207,0.0092915
4,1000,yes,8,4.2643e-09,6.8217e-19,1.5959,0.0075036
5,1000,yes,8,6.4221e-07,1.5427e-14,1.4662,0.0074552
0,10000,yes,5,1.7909e-08,1.5482e-17,1.9277,0.016989
1,10000,yes,8,4.8153e-07,9.3467e-15,1.5456,0.031374
2,10000,yes,10,2.7592e-09,3.0657e-19,1.5767,0.039598
3,10000,yes,10,2.7605e-07,2.841e-15,1.3576,0.039375
4,10000,yes,11,1.8631e-13,1.2121e-27,1.5064,0.042953
5,10000,yes,8,1.7831e-08,1.3002e-17,1.5797,0.029667
0,100000,yes,5,1.7919e-08,1.5503e-17,1.9614,0.18833
1,100000,yes,11,3.6749e-10,5.3601e-21,1.4737,0.49219
2,100000,yes,12,1.5169e-12,8.8293e-26,1.7175,0.47534
3,100000,yes,9,8.9785e-09,3.2336e-18,1.5406,0.42462
4,100000,yes,12,1.4686e-10,8.7411e-22,1.5269,0.55463
5,100000,yes,11,1.0235e-11,4.1494e-24,1.494,0.48213
